id,name,category,material,description,care_instructions,tags
1,Irregular Vest,OUTERWEARS,,Đang được cập nhật,,irregular-vest
2,Leninn Laflame Hoodie,TOPS,,Nội dung đang được cập nhật,,leninn-laflame-hoodie
3,Leninn Rusty Edge Cap,ACCESSORIES,,Leninn Rusty Edge Cap.  ◼️ Chất liệu denim.  ◼️ Chi tiết thêu logo nổi khối phối viền chỉ nét keng.  ◼️ Mặt dưới vành mũ phối da lộn.  ◼️ Khóa kim loại điều chỉnh phía sau.,,leninn-rusty-edge-cap
4,Leninn Field Tested Cap,ACCESSORIES,,LENINN FIELD TESTED CAP “NO CLEAN EXIT COLLABORATION”.  ◼️ Cotton twill (kaki) fabric.  ◼️ Structured 5-panel cap.  ◼️ Embroidered front logo.  ◼️ Legit cow leather strap.  ◼️ Clean stitch detailing throughout.,,leninn-field-tested-cap
5,Leninn Camo Bucket,ACCESSORIES,,Nội dung đang được cập nhật,,leninn-camo-bucket
6,Leninn Monogram Puffer,OUTERWEARS,,ÁO KHOÁC PHỒNG HỌA TIẾT MONOGRAM FW25.  ◼️ Áo khoác phồng hai lớp.  ◼️ Lớp vỏ ngoài bằng vải ripstop bền chắc.  ◼️ Lớp lót lụa mềm mại bên trong.  ◼️ Kiểu dáng rộng rãi.   ◼️ Họa tiết tinh tế phủ khắp áo.  ◼️ Không phù hợp với thời tiết lạnh.  ◼️ Có các size: S / M / L / XL.,,leninn-monogram-puffer
7,Leninn Charcoal Wash Cap,ACCESSORIES,,"Mũ lưỡi trai LENINN CHARCOAL WASH ""NO CLEAN EXIT"" hợp tác.  ◼️ Chất liệu denim thể hiện cá tính riêng.  ◼️ Hoàn thiện mài mòn.  ◼️ Chữ thêu nổi.  ◼️ Dây điều chỉnh phía sau.  ◼️ Chắc chắn các tín đồ denim sẽ thích chiếc mũ này.",,leninn-charcoal-wash-cap
8,Quackhed Chilling Time Canvas Jacket,OUTERWEARS,,ÁO KHOÁC VẢI CANVAS QUACKHEAD CHILLING TIME THU ĐÔNG 2025.  ◼️ Một đứa trẻ lạc lối — The Last Sickson.  ◼️ Vải canvas bền chắc.  ◼️ Thêu mũi xích.  ◼️ Kiểu dáng rộng rãi.,,quackhed-chilling-time-canvas-jacket
9,Leninn Denim Shirt,TOPS,,"ÁO SƠ MI LENINN DAMNIN THU ĐÔNG 2025 – ĐEN / XANH NHẠT.    ◼️ Kiểu dáng rộng rãi.  ◼️ Chất Denim chuẩn chỉ.  ◼️ Tay áo thiết kế điều chỉnh linh hoạt.  ◼️ Cúc áo in logo nét keng.  ◼️ Các chi tiết thêu sắc nét, hoàn thiện tỉ mỉ.  ◼️ Kích cỡ: S / M / L / X.",,leninn-denim-shirt
10,Leninn Final Lap Hockey Jersey,TOPS,,"LENINN FINAL LAP HOCKEY JERSEY FW25 BLACK / WHITE.  ◼️ Cotton 100% tự nhiên.  ◼️ Phần vải mesh được bố trí ở sườn áo, giúp tăng độ thoáng khí, hỗ trợ thoát nhiệt.  ◼️ Lựa chọn hợp lý cho mùa thu đông.  ◼️ Oversized fit.  ◼️ Size S / M / L / XL.",,leninn-final-lap-hockey-jersey
11,Eleven Distresed Jeans,BOTTOMS,,"QUẦN JEANS RÁCH ELEVEN FW 25.    ◼️ Dáng suông, không bó sát.  ◼️ Vải denim đã qua xử lý với độ phai màu tự nhiên.  ◼️ Chi tiết rách thô.  ◼️ Gấu quần tua rua.  ◼️ Miếng vá thêu số “11”.  ◼️ Có các size: S / M / L / XL.",,eleven-distresed-jeans
12,Void Signal Shorts,BOTTOMS,,"Quần short Void Signal phiên bản hợp tác giữa Leninn và The WXRDIES “No Clean Exit”.    ◼️ Vải nỉ cotton đã qua xử lý.  ◼️ Kiểu dáng rộng rãi, thoải mái.  ◼️ Eo chun co giãn với dây rút điều chỉnh.  ◼️ Nhiều túi kín đáo.  ◼️ Họa tiết in nổi bật trên cả hai ống quần.  ◼️ Hiệu ứng giặt nhẹ nhàng khắp quần.",,void-signal-shorts
13,Focus Strike Tshirt,TOPS,,Nội dung đang được cập nhật,,focus-strike-tshirt
14,Leninn Pray Under Paint Tshirt,TOPS,,ÁO THUN PRAY UNDER PAIN LENINN X THE WXRDIES HỢP TÁC “NO CLEAN EXIT”.    ◼️ Áo thun cotton đã qua xử lý.  ◼️ Màu đen bạc màu cổ điển.  ◼️ Kiểu dáng rộng rãi.  ◼️ Hình ảnh phía sau thể hiện đúng phong cách.  ◼️ Có các size: S / M / L / XL.,,leninn-pray-under-paint-tshirt
15,Obsidian Void Hoodie,TOPS,,"Áo Hoodie Obsidian Void phiên bản hợp tác giữa Leninn và The Wxrdies “No Clean Exit”.  ◼️ Nhanh tay sở hữu, hàng sắp hết.  ◼️ Chất liệu vải dày 480gsm.  ◼️ 99% cotton.  ◼️ In hình bên trong mũ.  ◼️ Tay áo in họa tiết.  ◼️ Có các size: S / M / L / XL.",,obsidian-void-hoodie
16,Black Ritual Flex Pants,BOTTOMS,,Quần dài thể thao BLACK RITUAL FLEX LENINN X THE WXRDIES phiên bản hợp tác “NO CLEAN EXIT”.    ◼️ Chất liệu nỉ mềm mại.  ◼️ Kiểu dáng vừa vặn.  ◼️ Eo chun + dây rút.  ◼️ Gấu quần có thể điều chỉnh.  ◼️ Có các size: S / M / L / XL.,,black-ritual-flex-pants
17,Lowkey Savage Bomber,OUTERWEARS,,ÁO KHOÁC BOMBER CỰC CHẤT LENINN X THE WXRDIES - SẢN PHẨM HỢP TÁC “NO CLEAN EXIT”.  ◼️ Hãy chiêm ngưỡng món đồ chất nhất trong toàn bộ bộ sưu tập.  ◼️ Áo khoác bomber denim wash.  ◼️ Lớp lót chần bông hình thoi hai lớp.  ◼️ Viền gân xung quanh.  ◼️ Khóa kéo kim loại chắc chắn.  ◼️ Họa tiết nổi bật trên tay áo.  ◼️ Túi tiện dụng phía trước.  ◼️ Kiểu dáng rộng rãi.,,lowkey-savage-bomber
18,Miv Sneaker,ACCESSORIES,,"MIV X LENINN “ATOM CHOCO” SNEAKER.  ◼️ 1000% Da bò tự nhiên.  ◼️ Phần upper kết hợp da vân sáp nâu và da nubuck.  ◼️ Dây giày xử lý wax.  ◼️ Lót giày Astro Boy bọc 1 lớp si gió, hình in sắc nét.  ◼️ Đế cao su được phối trộn từ 20 loại nguyên liệu cao su.  ◼️ Hai phiên bản: đế trắng và đế nâu.  ◼️ Các chi tiết thêu sắc nét, hoàn thiện tỉ mỉ.",,miv-sneaker
19,Hockey Jersey,TOPS,,"◾ Chất liệu: vải mesh thoáng khí phù hợp cho mùa hè này.  ◾ 11 Hockey Jersey được lấy cảm hứng từ bộ môn khúc côn cầu, tinh thần đặc trưng của bộ môn thể thao này được thể hiện rõ trên các chi tiết áo. Đặc biệt các chi tiết logo Leninn lần này được thể hiện theo nhiều phiên bản khác nhau.  ◾ Sử dụng công nghệ in lưới chuyển nhiệt, hình in sắc nét, không gãy nứt, bền màu với thời gian.",,hockey-jersey
20,Big Letter Baby Tee,TOPS,,"💢Điểm đặc biệt của chiếc áo này đến từ chi tiết chữ ""L"" trên nền loang có độ chuyển màu.  ◾ Form baby fit.  ◾ Vải mesh thoáng khí.  ◾ Tên thương hiệu được thêu nổi trên tay áo.",,big-letter-baby-tee
21,Cruehawts Sweatpants,BOTTOMS,,Đang được cập nhật,,cruehawts-sweatpants
22,Cruehawts Sweatshort,BOTTOMS,,Cập nhật,,cruehawts-sweatshort
23,Striped Logo Tee,TOPS,,"STRIPED LOGO TEE.    ◼️Chất liệu cotton 80% polyester 20%.  ◼️4 màu đa dạng.  ◼️Logo thêu ở mặt trước và chi tiết in nổi ở mặt sau.  ◼️In lưới chuyển nhiệt sắc nét, không gãy nứt, bền màu với thời gian.  ◼️Size S / M / L / XL.",,striped-logo-tee
24,Highway Canvas Jacket,OUTERWEARS,,HIGHWAY CANVAS JACKET FW25.    ◼️ Double-layer puffer jacket.  ◼️ Tough ripstop shell.  ◼️ Smooth silk lining inside.  ◼️ Boxy fit.  ◼️ Subtle all-over pattern.  ◼️ Cold weather lost this round.  ◼️ Available in sizes: S / M / L / XL.,,highway-canvas-jacket
25,Multi Logo Sweater,TOPS,,"◼️ Boxy fit.    ◼️ 100% cotton.    ◼️ Mặt vải Washed nhẹ.    ◼️ Chi tiết logo thêu nổi sắc nét, clean.    ◼️ Cổ bo rib chắc chắn, dầy dặn.    ◼️ Size S / M / L / XL.",,multi-logo-sweater
26,Untold Longsleeve,TOPS,,"◼️ Chất liệu cotton 100% tự nhiên.  ◼️ Wash đen nhẹ.  ◼️ Sử dụng công nghệ in lưới chuyển nhiệt, hình in sắc nét, không gãy nứt, bền màu với thời gian.  ◼️ Oversized fit.  ◼️ Size S / M / L / XL.",,untold-longsleeve
27,Invisible Relaxed Hoodie,TOPS,,"Được làm bằng chất liệu vải da cá đánh xù kết hợp cùng cotton cao cấp tự nhiên 100% định lượng lên tới 450gsm nên bạn sẽ cảm nhận được sự mềm mịn, thoải mái và vô cùng ấm áp khi mặc chiếc áo này. Kỹ thuật mắt xích giúp hình thêu nổi bật, bền bỉ hơn.  ◼️Mũ áo thiết kế không chân, có độ rủ nhất định.  ◼️Big Oversized Fit.",,invisible-relaxed-hoodie
28,Boxer,BOTTOMS,,"◾️Sợi bamboo co giãn 4 chiều, mềm mại thoáng khí, thấm hút mồ hôi.   ◾️Cạp bản rộng 5cm , dệt logo với độ đàn hồi cao, không gây vết hẳn nhưng vẫn ôm sát cơ thể.   ◾️Một hộp 3 chiếc.",,boxer
29,Multi Pocket Shorts,BOTTOMS,,"◾️Vải khaki đăng đối màu mặt trước và sau, 6 túi hộp được may kết hợp chồng tầng, đi kèm logo nhỏ được in trên miệng túi.  ◾️Sau khi hoàn thiện đã được giặt enzyme tránh tình trạng bạc màu và co ngót sợi vải.  ◾️Cúc kim loạt dập nổi logo Leninn.",,multi-pocket-shorts
30,Hidden Cap,ACCESSORIES,,"◼️ Chất liệu denim dày dặn, bền chắc.  ◼️ Hai phiên bản màu: Đen / Xanh.  ◼️ Chi tiết họa tiết in laser sắc nét.  ◼️ Dây điều chỉnh kích thước linh hoạt",,hidden-cap
31,Strength Leninn Cap,ACCESSORIES,,◼️ Chất liệu kaki.  ◼️ Chi tiết thêu logo đối điểm sắc nét nèn nẹt.  ◼️ Khóa kim loại điều chỉnh phía sau.,,strength-leninn-cap
32,Community Project Jort,BOTTOMS,,"Với thiết kế đơn giản, artwork chính là “em bé” được thêu tinh tế ở phần túi quần trước, form dáng basic năng động trẻ trung.  ◼️Chất liệu vải denim đã được xử lý wash mềm.  ◼️Form ống rộng.  ◼️Size: S / M / L / XL.",,community-project-jort
